"モヘヤ混ニット（Ungrid ¥7,200がZOZOで動いている）、ブークレ、エコファー、裏起毛スウェット生地がAW26の主役。NOAHLの下代感で最もコスパが良いのは「フクレジャガード×裏起毛」(下代¥1,200〜1,400)と「シャギーニット」(下代¥1,100〜1,400)。エコファーアウターは下代¥2,000超で重いが、nlmot007(¥11,980/下代¥2,056)の成功が示す通り高単価で回収可能。",,,,,,,
,,,,,,,
軸④ 自社実績分析（2025年11月）,,,,,,,
売上構造,,,,,,,
"11月のTOP5はnlmot007(758枚/¥11,980)、nlxn30722(755枚/¥9,900)、nlxn30705(738枚/¥6,980)、nltp453(711枚/¥7,980)、nltp383(659枚/¥5,980)。上位5品番で3,621枚。",,,,,,,
,,,,,,,
"11月の特徴は「高単価品番が上位を占める」こと。TOP3がすべて¥7,000超で、nlmot007(¥11,980)とnlxn30722(¥9,900)は¥10,000級。TOP5の平均販売価格は¥8,564で、10月TOP5の平均¥7,080から大幅に上昇。冬物の高単価化が客単価を押し上げている。",,,,,,,
,,,,,,,
"nlmot007(758枚/¥11,980)は¥11,980×758枚＝売上¥908万。まよさんコラボアウターが月間¥900万超を記録。10月はまだ未発売or在庫ゼロだったアウターが、11月に一気にTOP品番に躍り出た。下代¥2,056で粗利率83%は驚異的。",,,,,,,
,,,,,,,
"nlxn30722(755枚/¥9,900)は2022年10月発売のニットワンピ超定番。レビュー458件・評価4.21。3年目にして月間755枚は「定番品のロングテール」の極致。nlxn30705(738枚/¥6,980)もレビュー1,037件・評価4.29の超定番ニットトップスで、在庫1,630枚と潤沢。",,,,,,,
,,,,,,,
"ボトムス3品番がTOP10入り： nlpt454(573枚/¥7,980)、nlpt425(553枚/¥6,980)、nlpt379(270枚/¥6,980)で計1,396枚。特にnlpt454は11月1日発売の新作が初月573枚で大ヒット。NL公式265枚は全品番中トップレベルの自社EC販売数。nlpt425は10月の144枚→11月553枚と約4倍に加速し、レビュー50件・評価4.12を維持。「ボトムスは毎月2〜3型コンスタント投入」「S級＋A級のみで勝負」の設計ルールが明確に結果を出している。",,,,,,,
,,,,,,,
カテゴリ別ではTOP30中、トップスが15品番、ボトムス（パンツ）が5品番（nlpt454/573、nlpt425/553、nlpt379/270、nlpt421/138、nlpt409/125）、ワンピースが4品番（nlxn30722/755、nlwp173/72、nlmwp003/44、nlwp187/48）、アウターが3品番（nlmot007/758、nlot428/181、nlot439/123）、スカートが2品番（nlsk420/77、nlsk389/67）、インナーが1品番（nlbi005/259）。10月に比べボトムス・アウターのTOP30比率が大幅に改善。,,,,,,,
,,,,,,,
在庫状況（欠品危機品番の特定）,,,,,,,
品番,11月販売数,実在庫,在庫月数,判定,,,
nlxn30722,755枚,66枚,0.09ヶ月,致命的欠品。即追加必須。12月分ゼロ,,,
nlot428,181枚,0枚,0ヶ月,"完全欠品。¥13,890×181枚＝¥251万/月の機会損失",,,
nlot439,123枚,0枚,0ヶ月,完全欠品。即追加判断,,,
nltp400,200枚,0枚,0ヶ月,10月に続き完全欠品。2ヶ月連続の機会損失,,,
nbetp77034,180枚,0枚,0ヶ月,10月105枚→11月180枚に加速中なのに欠品,,,
nbetp25012,96枚,0枚,0ヶ月,即追加,,,
nltp435,85枚,0枚,0ヶ月,欠品,,,
nltp042,92枚,0枚,0ヶ月,レビュー323件定番。欠品は致命的,,,
nl0195,102枚,0枚,0ヶ月,"¥16,000コート。レビュー385件。欠品",,,
nltp453,711枚,183枚,0.26ヶ月,12月初旬に欠品する。即追加,,,
nlpt454,573枚,172枚,0.3ヶ月,12月初旬に欠品する。即追加,,,
nlpt425,553枚,127枚,0.23ヶ月,12月初旬に欠品する。即追加,,,
nltp370,257枚,96枚,0.37ヶ月,12月中旬に欠品,,,
nlpt409,125枚,5枚,0.04ヶ月,即追加。5枚は数日分,,,
nlwp173,72枚,23枚,0.32ヶ月,追加必要,,,
nlsk417,41枚,4枚,0.1ヶ月,追加検討,,,
nldt3032,226枚,47枚,0.21ヶ月,"¥14,300の高単価WP定番。追加必須",,,
"在庫過多品番：nlxn30705(738枚/在庫1,630枚)は在庫2.2ヶ月分で適正圏内。nltp031(24枚/在庫1,568枚)は11月24枚まで減速。在庫65ヶ月分で完全な不良在庫化。春の再浮上を待つか処分判断が必要。nlwp280(0枚/在庫1,058枚)も深刻な不良在庫。",,,,,,,
,,,,,,,
成功パターンの再現性,,,,,,,
"nltp453(711枚/¥7,980)の成功要因：①11月1日発売で冬物需要ピークに完全合致②¥7,980×宅配便だがNL公式272枚（38%）でメタ広告が強力に機能③評価4.56と高品質④楽天NL437枚＋公式272枚のダブルエンジン。nlpt454(573枚/¥7,980)も同じパターンで、同日発売の「トップス＋ボトムス同時投入」がセット買いを促進した可能性が高い。",,,,,,,
,,,,,,,
"nlmot007(758枚/¥11,980)のまよさんコラボアウターは「¥12,000級でも楽天で爆発する」ことを証明。ただし評価3.61は危険水域。レビュー23件中にネガティブが混在しており、12月の追加前にレビュー対策（写真差替え・商品説明更新）が必須。",,,,,,,
,,,,,,,
"ボトムス成功の構造変化：nlpt454(573枚)とnlpt425(553枚)の2品番で1,126枚。ボトムスがトップスに匹敵する販売数を出し始めた。成功要因は①S級×A級に絞った集中投入②7サイズ展開による「自分に合うサイズが見つかる」体験③¥6,980〜7,980の「ボトムスとして高すぎない」価格設定。10月MD計画で提案したS3（ハイウエストセンタープレスタックパンツ）のコンセプトが市場で実証された形。",,,,,,,
,,,,,,,
失敗パターンと教訓,,,,,,,
"nlmot007の評価3.61は要注意。¥11,980のコラボアウターで低評価が出ると、ブランド全体のイメージに悪影響。教訓チェックリストの「消化の確信がない大量発注をしていないか」に照らすと、在庫744枚は1ヶ月分弱で適正だが、品質面のリスクを先に潰すべき。",,,,,,,
,,,,,,,
nltp460(109枚/評価3.63)も評価が低い。11月19日発売で109枚は悪くないが、レビュー品質の改善が先。,,,,,,,
,,,,,,,
まよさんコラボの10月→11月の減速：nlmtp001は10月442枚→11月63枚に激減。nlmtp005は10月284枚→11月10枚。コラボ品番は「発売月に爆発→翌月急減速」のパターンが明確。追加発注は控え、新作コラボの投入で鮮度を維持する方が効率的。,,,,,,,
,,,,,,,
4軸クロス総評：11月にNOAHLがやるべきこと,,,,,,,
4軸が重なるポイントは3つ。,,,,,,,
,,,,,,,
① nltp453＋nlpt454の「冬の黄金ペア」を12月に絶対に欠品させない,,,,,,,
,,,,,,,
ZOZO-T（ニット16→34件倍増）×ZOZO-P（裏起毛・コーデュロイ0→3件急増/フレア5→8件）×楽天-R（裏起毛8→18件爆増/コート8→25件）×自社（nltp453/711枚＋nlpt454/573枚の同時投入が成功）。11月最大のアクションは「この黄金ペアの在庫を12月分まで確保する即追加発注」。nltp453(在庫183枚/0.26ヶ月分)とnlpt454(在庫172枚/0.3ヶ月分)は12月初旬に確実に欠品する。12月はスーパーセール（年末商戦）があり、冬物のピーク中のピーク。ここで欠品は致命的。再入荷予算の50%以上をこの2品番に集中配分する。,,,,,,,
,,,,,,,
② 定番品の大量欠品を止める「守りの再入荷」が急務,,,,,,,
,,,,,,,
"自社（nlxn30722/755枚・在庫66枚、nlot428/181枚・在庫0枚、nltp400/200枚・在庫0枚、nl0195/102枚・在庫0枚 etc.）×楽天（楽天比率90%超の定番品が次々欠品）。11月は「攻め」の新作投入より「守り」の再入荷が最重要。nlxn30722(在庫66枚)はレビュー458件のニットワンピ超定番で、12月に欠品すると年間¥1,000万以上の機会損失。nlot428(¥13,890/在庫0枚)は高単価アウターで1枚あたりの機会損失が大きい。nltp400(200枚/在庫0枚)は2ヶ月連続の欠品。これらの即追加が11月の最優先投資。",,,,,,,
,,,,,,,
③ ボトムス構成比の「歴史的改善」を12月以降も維持する,,,,,,,
,,,,,,,
"ZOZO-P（冬素材×フレアの二極化）×ZOZO-S（ニットスカート6→8件）×トレンド（ロングスカート復権適合度8/テクスチャーリッチ適合度8）×自社（ボトムス3品番1,396枚がTOP10入り）。11月でボトムスが初めてTOP品番入りしたことは、NOAHLの構造的弱点が改善に向かっている最大の証拠。12月以降もこの流れを止めないため、①nlpt454・nlpt425の在庫切れ防止②12月新作にボトムス2型（コーデュロイパンツ＋フレアデニム）を投入③スカートもA級で1型追加。「構成比は結果としてなるもの。計画で無理に作らない」の設計思想通り、毎月2〜3型のコンスタント投入を継続する。",,,,,,,
,,,,,,,
Part 2：新作品番設計（4軸根拠タグ付き）,,,,,,,
予算サマリー,,,,,,,
区分,品番数,金額,構成比,,,,
新作OEM・冬物（S+A+B）,15型,¥400万,22%,,,,
メーカー仕入れ,3品番,¥50万,3%,,,,
再入荷（欠品防止）,12〜15品番,"¥1,000万",55%,,,,
追加発注プール,—,¥370万,20%,,,,
合計,,"¥1,820万",100%,,,,
"※フェーズ2準拠：仕入≈COGS。11月の月商推定はTOP5だけで¥6,400万超（nlmot007:¥908万＋nlxn30722:¥748万＋nlxn30705:¥515万＋nltp453:¥567万＋nltp383:¥394万）。全体月商推定¥8,000万×原価率目標35%＝COGS≈¥2,800万だが、フェーズ1（圧縮期）の残りとして仕入はCOGSの65%＝¥1,820万に抑制。再入荷+プールで75%を確保し、売れ筋の欠品防止を最優先。",,,,,,,
,,,,,,,
冬物新作S級（3品番）— ¥170万｜全リソース集中,,,,,,,
S1：配色フリンジニットプルオーバー（nltp453の横展開）,,,,,,,
項目,内容,,,,,,
カテゴリ,トップス / ニット,,,,,,
価格帯,"¥7,980",,,,,,
下代,"¥1,300",,,,,,
SKU,3色 × 80枚 = 240枚,,,,,,
仕入額,¥31.2万,,,,,,
ZOZO-T,"◎ ニット16→34件倍増。配色KW2→9件爆増。Classical Elf「フリンジ配色」(¥3,635)が市場証明",,,,,,
楽天-R,"◎ 裏起毛8→18件。ニットの配色・刺繍が楽天の¥5,000超成立条件",,,,,,
トレンド,◎ 「テクスチャーリッチ」適合度8。配色×フリンジが2026AW最重要デザイン,,,,,,
自社,"◎ nltp453(711枚/¥7,980)が11月TOP4。同フォーマットの色違い・配色変化で追加需要",,,,,,
提案根拠,"nltp453が¥7,980で711枚を叩き出した「¥7,980×冬ニット」フォーマットの横展開。ZOZOで配色KW9件、楽天でニット34件の市場裏付け。12月スーパーセールに間に合わせ、nltp453の在庫補充と同時に新柄で棚を刷新",,,,,,
S2：裏起毛センタープレスタックパンツ（nlpt454の冬素材版）,,,,,,,
項目,内容,,,,,,
カテゴリ,ボトムス / パンツ,,,,,,
価格帯,"¥7,980",,,,,,
下代,"¥1,400",,,,,,
SKU,7サイズ × 70枚 = 490枚,,,,,,
仕入額,¥68.6万,,,,,,
ZOZO-P,"◎ 裏起毛0→3件急増(green label relaxing¥7,200/2,088枚が1位)。センタープレス継続",,,,,,
楽天-R,◎ 裏起毛8→18件爆増。「暖かいのに着膨れしない」が購買理由,,,,,,
トレンド,◎ 「テクスチャーリッチ」適合度8。裏起毛がAW26の機能素材トレンド,,,,,,
自社,"◎ nlpt454(573枚/¥7,980)とnlpt425(553枚/¥6,980)が証明。ボトムスS級が機能する",,,,,,
提案根拠,"nlpt454の成功フォーマット（¥7,980×7サイズ展開×センタープレス）に「裏起毛」を追加。ZOZOで裏起毛パンツ2,088枚、楽天で裏起毛18件の市場裏付け。12月の本格的寒波到来に合わせた投入で「nlpt454の冬版」としてクロスセル",,,,,,
S3：エコファーショートブルゾン（コラボではない自社OEM版）,,,,,,,
項目,内容,,,,,,
カテゴリ,アウター / ブルゾン,,,,,,
価格帯,"¥9,880",,,,,,
下代,"¥2,050",,,,,,
SKU,3色 × 50枚 = 150枚,,,,,,
仕入額,¥30.8万,,,,,,
ZOZO-S,"◎ ファーKW7→13件倍増。LIAN(¥9,000/2,591枚)が市場の圧倒的証明",,,,,,
楽天-R,◎ コート8→25件、ジャケット15→32件爆増。ボアノーカラーが楽天で好調,,,,,,
トレンド,◎ エコファーがAW2026素材トレンド。「フラッフィーテクスチャー」,,,,,,
自社,"◎ nlmot007(758枚/¥11,980)がアウターTOP1。コラボだけでなく自社OEMでもアウター実績を作る",,,,,,
提案根拠,"nlmot007がアウターの可能性を証明したが、コラボ依存はリスク。自社OEMで「¥9,880×ショート丈×エコファー」を投入し、アウターカテゴリの自立を目指す。初回150枚で控えめに始め、売れたら追加プールで追いかける",,,,,,
冬物新作A級（6品番）— ¥140万｜初回控えめ→W2で追加判断,,,,,,,
A1：モヘヤ混シャギーニットカーディガン,,,,,,,
項目,内容,,,,,,
カテゴリ,トップス / ニットカーディガン,,,,,,
"下代¥1,300 / SKU 3色×60枚=180枚",仕入額 ¥23.4万,,,,,,
ZOZO-T,"◎ シャギーが複数ランクイン。Ungridモヘヤ混(¥7,200)が高単価で稼働",,,,,,
楽天-R,"◎ ニット34件。ポコポコ素材・スナップカーデがトレンド（FREAK'S STORE¥6,360参考）",,,,,,
トレンド,◎ テクスチャーリッチ適合度8。モヘヤ混はAW26のキー素材,,,,,,
自社,○ カーディガン枠の強化。nlc076(27枚/在庫190)は継続だが11月で減速。新鮮味が必要,,,,,,
A2：バイカラーリボンニットワンピース,,,,,,,
項目,内容,,,,,,
カテゴリ,ワンピース,,,,,,
"下代¥1,500 / SKU 3色×60枚=180枚",仕入額 ¥27万,,,,,,
ZOZO-S,"◎ ニットWP11→22件倍増。JUNOAH「バイカラーリボン」(¥7,272/2,028枚)が市場証明",,,,,,
楽天-R,◎ ニットWPが楽天高単価枠の柱,,,,,,
トレンド,◎ テクスチャーリッチ＋ハイネック適合度9,,,,,,
自社,◎ nlxn30722(755枚)の後継候補。定番WPの次世代を育てる,,,,,,
A3：コーデュロイワイドパンツ,,,,,,,
項目,内容,,,,,,
カテゴリ,ボトムス / パンツ,,,,,,
"下代¥1,400 / SKU 7サイズ×50枚=350枚",仕入額 ¥49万,,,,,,
ZOZO-P,"◎ コーデュロイ0→3件急増。FREAK'S STORE(¥5,450/934枚)が参考",,,,,,
楽天-R,○ 冬素材パンツの立ち上がり,,,,,,
トレンド,◎ テクスチャーリッチ適合度8。コーデュロイはAW26の復権素材,,,,,,
自社,◎ nlpt454(573枚)・nlpt425(553枚)の成功に続くボトムス3型目,,,,,,
A4：リブニットロングタイトスカート,,,,,,,
項目,内容,,,,,,
カテゴリ,ボトムス / スカート,,,,,,
"下代¥1,100 / SKU 7サイズ×40枚=280枚",仕入額 ¥30.8万,,,,,,
ZOZO-S,"◎ ニットスカート6→8件。andme(¥3,346)が安定稼働",,,,,,
楽天-R,○ リブスカートはボリュームアウターの受け皿として安定需要,,,,,,
トレンド,◎ ロングスカート復権適合度8＋ハイネック適合度9（セット提案）,,,,,,
自社,○ nlsk420(77枚)・nlsk389(67枚)がスカートで安定。A級で構成比UP,,,,,,
A5：裏起毛ロゴ刺繍スウェットプルオーバー,,,,,,,
項目,内容,,,,,,
カテゴリ,トップス / スウェット,,,,,,
"下代¥1,100 / SKU 3色×70枚=210枚",仕入額 ¥23.1万,,,,,,
ZOZO-T,"◎ スウェット5→12件急増。MONO-MART「ワッペン刺繍裏起毛」(¥5,310)が参考",,,,,,
楽天-R,"◎ 裏起毛8→18件。ロゴ刺繍が楽天の¥5,000成立条件",,,,,,
トレンド,○ グランジ×フェミニン適合度7。刺繍でNOAHLらしさを維持,,,,,,
自社,△ スウェット枠は未開拓だが、市場データが強力。テスト投入として,,,,,,
A6：フェザーペプラムベスト＋リブワンピースセット,,,,,,,
項目,内容,,,,,,
カテゴリ,セットアイテム（ワンピース＋ベスト）,,,,,,
"下代¥1,800 / SKU 2色×40枚=80枚",仕入額 ¥14.4万,,,,,,
ZOZO-S,"◎ natural couture「フェザーペプラムベスト+リブワンピSET」(¥8,455/567枚)が市場証明",,,,,,
楽天-R,○ セットアイテムは着回し力で楽天購買理由に直結,,,,,,
トレンド,◎ テクスチャーリッチ＋レイヤードスタイルの融合,,,,,,
自社,○ WP月2〜3型の2枠目（A2と合わせて2型）。セットで客単価引き上げ,,,,,,
冬物B級（6品番）— ¥42万｜棚の鮮度維持,,,,,,,
B1：フランネルチェックシャツ,,,,,,,
"| 下代¥1,050 / SKU 2色×30枚=60枚 | 仕入額 ¥6.3万 | | 根拠軸 | ZOZO-T○（チェック継続）＋トレンド○（グランジ×フェミニン適合度7） |",,,,,,,
,,,,,,,
B2：ブークレニットベスト,,,,,,,
"| 下代¥1,100 / SKU 2色×30枚=60枚 | 仕入額 ¥6.6万 | | 根拠軸 | トレンド◎（テクスチャーリッチ適合度8）。レイヤード提案枠 |",,,,,,,
,,,,,,,
B3：配色ストライプニットプルオーバー,,,,,,,
"| 下代¥1,100 / SKU 2色×30枚=60枚 | 仕入額 ¥6.6万 | | 根拠軸 | トレンド◎（ストライプ復権適合度7＋配色KW9件）。テスト継続 |",,,,,,,
,,,,,,,
B4：ベロアミディスカート,,,,,,,
"| 下代¥1,200 / SKU 2色×30枚=60枚 | 仕入額 ¥7.2万 | | 根拠軸 | ZOZO-S◎（ベロア素材急伸）＋トレンド（テクスチャーリッチ） |",,,,,,,
,,,,,,,
B5：ニット×チュールセットワンピース,,,,,,,
"| 下代¥1,300 / SKU 2色×30枚=60枚 | 仕入額 ¥7.8万 | | 根拠軸 | ZOZO-S◎（Classical Elfの同型¥5,908/1,139枚）。WP月3枠目 |",,,,,,,
,,,,,,,
B6：裏起毛リブパンツ（きれいめ）,,,,,,,
"| 下代¥1,200 / SKU 2色×30枚=60枚 | 仕入額 ¥7.2万 | | 根拠軸 | 楽天-R◎（reca裏起毛リブパンツ¥3,891/3,433枚）。低単価ボトムスのテスト |",,,,,,,
,,,,,,,
※設計ルール通りボトムスのB級は不要。B6はリブパンツ（カテゴリはインナーに近いベースアイテム）として例外扱い。,,,,,,,
,,,,,,,
メーカー仕入れ — ¥50万,,,,,,,
#,カテゴリ,アイテム,仕入額,根拠軸,,,
M1,アウター,デザイナーズウールコート,¥25万,"楽天-R◎（コート8→25件）＋自社（nl0195/102枚・在庫0が示すコート需要。¥16,000級を目利きで補完）",,,
M2,アウター,フェイクレザー×ファーティペットブルゾン,¥15万,"ZOZO-S◎（moment+¥6,182/5,213枚が11月ZOZO圧倒的トップ）。異素材ミックスアウター",,,
M3,ワンピース,デザイナーズニットワンピースセット,¥10万,ZOZO-S◎（ニットWP22件）＋自社（nlxn30722の後継候補の目利き枠）,,,
全品番4軸スコア一覧,,,,,,,
#,アイテム,ランク,ZOZO,楽天,トレンド,自社,合計
S1,配色フリンジニット,S,◎,◎,◎,◎,4軸全一致
S2,裏起毛センタープレスパンツ,S,◎,◎,◎,◎,4軸全一致
S3,エコファーショートブルゾン,S,◎,◎,◎,◎,4軸全一致
