「ハイネック×エレガンス」（適合度9/10）：ファンネルネック・タートルネックの復権。12月のきれいめ需要とオフィス年末シーンに直結。,,,,,,
,,,,,,
「ストライプ復権」（適合度7/10）：冬ストライプニットは限定的だがアクセントとして機能。配色ストライプカーデが提案可能。,,,,,,
,,,,,,
「カットアウト×冬素材」（適合度6/10）：肩見せ・背中見せの冬ニットは年末パーティーシーンに限定的に対応。NOAHLの品番としてはB級。,,,,,,
,,,,,,
「フラッフィー素材」（適合度8/10）：エコファー・ボア・プードルファーがアウターだけでなくバッグ・小物にも展開。11月のエコファーブルゾン実績を踏まえ、12月はファー付き小物・マフラーの追加検討可。,,,,,,
,,,,,,
カラーはPantone 2026AW基準でMuted Clay、Burgundy Wine、Forest Green、Charcoal Mauve。NOAHLのニュアンスカラー方針との接点はMuted Clay（モカ系）とCharcoal Mauve（グレージュ系）。年末はダーク系（ブラック・チャコール・ネイビー）が売上比率40%超になるため、定番ダーク＋ニュアンスカラーのバイカラー構成が効果的。,,,,,,
,,,,,,
軸④ 自社実績（2025年12月売上Excel）,,,,,,
売上TOP10品番（推定）,,,,,,
,,,,,,
順位,品番,カテゴリ,販売枚数,単価,売上,備考
1,nlmot007-2510,アウター,850+,"¥11,980","¥10,183k",11月1位継続、冬本番で加速
2,nlxn30722,コラボニット,800+,"¥9,900","¥7,920k",11月在庫66枚→要追加確認
3,nltp453-2510,ニットトップス,780+,"¥7,980","¥6,224k",配色ニットが12月最盛期
4,nlxn30705,コラボ,700+,"¥6,980","¥4,886k",安定継続
5,nltp383-2508,トップス,680+,"¥5,980","¥4,066k",ロングセラー品番
6,nlpt454-2510,ボトムス,650+,"¥6,980","¥4,537k",裏起毛パンツ好調
7,nlpt425-2509,ボトムス,600+,"¥6,980","¥4,188k",ハイウエストパンツ継続
8,nlot428-2510,アウター,550+,"¥9,880","¥5,434k",11月欠品→12月補充分
9,nlwp173-2408,ワンピース,500+,"¥7,980","¥3,990k",ニットワンピ需要最盛期
10,nltp400-2509,トップス,480+,"¥5,980","¥2,870k",11月欠品→補充効果
"自社実績の構造的特徴（12月） 11月との比較でアウターが初めてTOP3入り。nlmot007が2ヶ月連続1位で「S級アウター」の存在が月商を牽引。ボトムス2品番がTOP10定着し、10月から設計してきたボトムス強化施策が完全に機能。客単価は11月¥8,564→12月¥8,800〜9,000と推定上昇（アウター・ニットワンピの構成比増加による）。",,,,,,
,,,,,,
在庫危機品番（12月末時点） 冬セール期に入るため、「追加発注すべき品番」と「セール処分に回す品番」の判断が12月最重要。,,,,,,
,,,,,,
即追加発注（1月も販売継続見込み）：nlmot007（アウター・冬メイン）、nltp453（ニット・1月まで）、nlpt454（裏起毛パンツ・2月まで）。,,,,,,
,,,,,,
"セール処分開始（12月後半〜1月）：nltp383-2508（8月投入・5ヶ月経過）、nl0193-211101（旧品番・在庫過多）、nltp031-2307（10月時点で過剰在庫1,568枚）。",,,,,,
,,,,,,
在庫監視（判断保留）：nlxn30722（コラボ・追加可否要確認）、nlwp173-2408（ニットWP・1月まで販売可だが残数による）。,,,,,,
,,,,,,
クロス軸 TOP3 アクション,,,,,,
Action 1：冬物プロパー最終月 — S級品番の在庫最大化 4軸すべてが「ニット」「アウター」「裏起毛」の最盛期を示す。nlmot007・nltp453・nlpt454の3品番は1月中旬まで販売可能であり、12月初旬に追加発注を確定。スーパーSALE（12/4〜）を活用してプロパー価格での販売枚数を最大化し、1月のセールに入る前に利益を確保する。,,,,,,
,,,,,,
Action 2：年末イベント対応 — きれいめ×華やか品番の投入 ZOZO・楽天ともに年末のパーティー・忘年会需要でベロアワンピ・ツイードボトムス・ニットセットアップの検索が急増。12月新作はB級でも「きれいめイベント対応」のベロアワンピまたはツイードスカートを1型は確保し、大感謝祭（12/19〜）に合わせて投入。,,,,,,
,,,,,,
Action 3：冬→春の橋渡し設計 — 1月セール＆2月春立ち上がりへの布石 12月後半から秋物の処分OFF開始。在庫回転率0.8超えの品番を特定し、セール対象リストを12月第2週までに確定。同時に1月投入の春先行品番（薄手ニット・レイヤード対応アイテム）のサンプル確認を12月中に完了させ、1月第2週の春立ち上がりに間に合わせる。,,,,,,
,,,,,,
Part 2：新作品番設計,,,,,,
予算配分,,,,,,
12月は冬物最盛期の再入荷重視＋年末イベント対応の少数新作＋1月セール前の在庫調整の三重構造。新作投入は控えめにし、実績品番の在庫最大化に予算を集中。,,,,,,
,,,,,,
区分,型数,配分額,比率,備考,,
新作 S級,2型,¥120万,6.30%,冬最盛期の補完品番,,
新作 A級,4型,¥100万,5.30%,イベント対応・穴埋め,,
新作 B級,4型,¥30万,1.60%,テスト投入,,
メーカー仕入,2型,¥40万,2.10%,即納品で欠品カバー,,
再入荷・欠品防止,8〜10品番,"¥1,200万",63.20%,冬メイン品番の追加発注,,
追加プール,—,¥410万,21.60%,売れ筋急伸対応,,
合計,—,"¥1,900万",100%,"COGS35%基準・月商¥5,400万想定",,
"※12月は年間売上ピーク月の一つであり、月商¥5,000〜5,500万を見込む。仕入枠はCOGS35%で¥1,750〜1,925万。ここでは¥1,900万を設定。",,,,,,
,,,,,,
新作品番一覧（4軸スコアリング付き）,,,,,,
S級（2型・各80〜120枚）,,,,,,
S1：ケーブル編みタートルネックニットプルオーバー,,,,,,
,,,,,,
項目,内容,,,,,
カテゴリ,トップス（ニット）,,,,,
販売価格,"¥7,980",,,,,
下代,"¥1,400",,,,,
SKU,4色（モカ・チャコール・アイボリー・ダスティピンク）× 4サイズ = 16SKU,,,,,
仕入数,100枚,,,,,
仕入額,"¥140,000",,,,,
ZOZO（軸①）,◎ タートル件数急増、ケーブル編みが12月最注力素材感,,,,,
楽天（軸②）,◎ 「暖かい」「オフィスOK」のレビュー高評価要素を満たす,,,,,
トレンド（軸③）,◎ テクスチャーリッチ＋ハイネックエレガンス（適合度9）,,,,,
自社（軸④）,"◎ nltp453(配色ニット¥7,980)が2ヶ月連続TOP5、同価格帯で横展開",,,,,
MDアクション,スーパーSALE開始2h枠に投入。Meta広告S級集中。ペア提案（S2パンツとセット）,,,,,
S2：ウールライクセンタープレスワイドパンツ（裏起毛）,,,,,,
,,,,,,
項目,内容,,,,,
カテゴリ,ボトムス,,,,,
販売価格,"¥7,980",,,,,
下代,"¥1,500",,,,,
SKU,3色（ブラック・チャコール・モカ）× 7サイズ = 21SKU,,,,,
仕入数,90枚,,,,,
仕入額,"¥135,000",,,,,
ZOZO（軸①）,◎ 裏起毛パンツ1位圏、ハイウエスト＋センタープレス定番化,,,,,
楽天（軸②）,◎ 「きれいめ×防寒」ニーズの最適解,,,,,
トレンド（軸③）,○ リラックステーラリングの冬版として位置づけ,,,,,
自社（軸④）,"◎ nlpt454(¥6,980)の上位品番として¥7,980帯をテスト",,,,,
MDアクション,"S1ニットとのセットコーデ提案。楽天はスーパーSALEで¥6,980クーポン価格設計",,,,,
A級（4型・各60〜80枚）,,,,,,
A1：ベロアプリーツミディワンピース,,,,,,
,,,,,,
項目,内容,,,,,
カテゴリ,ワンピース,,,,,
販売価格,"¥8,980",,,,,
下代,"¥1,800",,,,,
SKU,3色 × 3サイズ = 9SKU,,,,,
仕入数,70枚,,,,,
仕入額,"¥126,000",,,,,
ZOZO（軸①）,◎ ベロア×プリーツが12月新規上位に,,,,,
楽天（軸②）,○ 年末イベント＋大感謝祭のギフト需要,,,,,
トレンド（軸③）,◎ グランジ×フェミニン＋テクスチャーリッチの交差点,,,,,
自社（軸④）,○ nlwp173のニットWP実績を素材違いで横展開,,,,,
MDアクション,大感謝祭(12/19〜)に合わせて投入。ギフトラッピング対応訴求,,,,,
A2：モヘヤ混バルーンスリーブニットプルオーバー,,,,,,
,,,,,,
項目,内容,,,,,
カテゴリ,トップス（ニット）,,,,,
販売価格,"¥6,980",,,,,
下代,"¥1,200",,,,,
SKU,4色 × 4サイズ = 16SKU,,,,,
仕入数,70枚,,,,,
仕入額,"¥84,000",,,,,
ZOZO（軸①）,◎ モヘヤ・シャギー系が12月最上位テクスチャー,,,,,
楽天（軸②）,○ 「見た目より軽い」「ふわふわ」訴求が高評価,,,,,
トレンド（軸③）,◎ フラッフィー素材（適合度8）直球,,,,,
自社（軸④）,○ nltp453の下位価格帯で集客品番として機能,,,,,
MDアクション,"W1投入、楽天RPP初動¥15,000集中",,,,,
A3：ツイードフレアミディスカート,,,,,,
,,,,,,
項目,内容,,,,,
カテゴリ,スカート,,,,,
販売価格,"¥6,980",,,,,
下代,"¥1,300",,,,,
SKU,3色 × 4サイズ = 12SKU,,,,,
仕入数,60枚,,,,,
仕入額,"¥78,000",,,,,
ZOZO（軸①）,◎ ツイード系ボトムス12月急伸（0→4件）,,,,,
楽天（軸②）,○ 年末イベント需要に対応,,,,,
トレンド（軸③）,○ プレッピーモダン×テクスチャーリッチ,,,,,
自社（軸④）,△ スカート品番の実績薄い→テスト投入,,,,,
MDアクション,A1ワンピとセット提案。大感謝祭投入,,,,,
A4：裏ボアフーディーコート（ミドル丈）,,,,,,
,,,,,,
項目,内容,,,,,
カテゴリ,アウター,,,,,
販売価格,"¥12,980",,,,,
下代,"¥2,800",,,,,
SKU,3色 × 3サイズ = 9SKU,,,,,
仕入数,60枚,,,,,
仕入額,"¥168,000",,,,,
ZOZO（軸①）,◎ コート系が12月ピーク、ボア裏地が差別化要素,,,,,
楽天（軸②）,◎ コート30件超、「軽い×暖かい」が最高評価,,,,,
トレンド（軸③）,○ フラッフィー素材のアウター展開,,,,,
自社（軸④）,"◎ nlmot007(¥11,980)が2ヶ月1位。アウター需要の受け皿拡大",,,,,
MDアクション,W2投入。nlmot007と並行でMeta広告テスト。客単価維持,,,,,
B級（4型・各30〜50枚）,,,,,,
B1：リブニットタイトロングスカート,,,,,,
,,,,,,
項目,内容,,,,,
カテゴリ,スカート,,,,,
販売価格,"¥5,980",,,,,
下代,"¥1,000",,,,,
SKU,3色 × 4サイズ = 12SKU,,,,,
仕入数,40枚,,,,,
仕入額,"¥40,000",,,,,
ZOZO,○ ニット素材スカート新規上位入り,,,,,
楽天,○ セットアップ提案の下単品として機能,,,,,
トレンド,○ ハイネックエレガンスとのコーデ適合,,,,,
自社,△ スカートカテゴリのテスト継続,,,,,
B2：フランネルチェック×レース衿ブラウス,,,,,,
,,,,,,
項目,内容,,,,,
カテゴリ,トップス,,,,,
販売価格,"¥5,980",,,,,
下代,"¥1,000",,,,,
SKU,3色 × 4サイズ = 12SKU,,,,,
仕入数,40枚,,,,,
仕入額,"¥40,000",,,,,
ZOZO,○ チェック柄の年末需要,,,,,
楽天,△ 限定的だがレビュー映えするディテール,,,,,
トレンド,○ グランジ×フェミニンの直球解釈,,,,,
自社,△ 新規テイスト・市場テスト,,,,,
B3：エコファーティペット（マフラー型）,,,,,,
,,,,,,
項目,内容,,,,,
カテゴリ,小物・アクセサリー,,,,,
販売価格,"¥3,980",,,,,
下代,¥600,,,,,
SKU,4色 = 4SKU,,,,,
仕入数,50枚,,,,,
仕入額,"¥30,000",,,,,
ZOZO,○ ファー小物がアクセサリー枠で上位に,,,,,
楽天,◎ ギフト需要・買いまわり対象として低単価小物が機能,,,,,
トレンド,◎ フラッフィー素材の小物展開,,,,,
自社,△ 小物カテゴリの開拓テスト,,,,,
B4：裏起毛スウェットワンピース,,,,,,
,,,,,,
項目,内容,,,,,
カテゴリ,ワンピース,,,,,
販売価格,"¥6,980",,,,,
下代,"¥1,200",,,,,
SKU,3色 × 3サイズ = 9SKU,,,,,
仕入数,40枚,,,,,
仕入額,"¥48,000",,,,,
ZOZO,○ スウェット系の裏起毛が12月標準,,,,,
楽天,○ 「楽ちん×暖かい」の休日需要,,,,,
トレンド,△ カジュアル軸だがNOAHLのきれいめとは距離あり,,,,,
自社,△ カジュアルワンピのテスト枠,,,,,
メーカー仕入（2型）,,,,,,
M1：ウールブレンドチェスターコート,,,,,,
,,,,,,
項目,内容,,,,,
販売価格,"¥14,980",,,,,
仕入額,"¥220,000（30枚 × ¥7,300）",,,,,
根拠,"nlmot007の¥11,980超え帯のテスト。冬コート需要のピーク月に高単価を投入",,,,,
M2：ニット×スカートセットアップ,,,,,,
,,,,,,
項目,内容,,,,,
販売価格,"¥9,980",,,,,
仕入額,"¥180,000（40枚 × ¥4,500）",,,,,
根拠,年末イベント需要にセットアップで対応。ギフト訴求可能,,,,,
"再入荷優先度表（¥1,200万配分）",,,,,,
優先度,品番,カテゴリ,11月販売,12月初在庫(推定),アクション,発注目安
最優先,nlmot007-2510,アウター,758枚,300枚以下,即発注 300枚,¥300万
最優先,nltp453-2510,ニット,711枚,250枚以下,即発注 250枚,¥175万
最優先,nlpt454-2510,ボトムス,650枚+,200枚以下,即発注 200枚,¥140万
高,nlxn30722,コラボニット,755枚,66枚(11月末),コラボ先と追加交渉・即決,¥150万
高,nlpt425-2509,ボトムス,600枚+,150枚以下,発注 150枚,¥105万
高,nlot428-2510,アウター,550枚+,補充済→要確認,在庫状況次第で追加,¥80万
中,nlwp173-2408,ワンピース,500枚+,要確認,1月まで販売可、残50枚以下なら追加,¥60万
中,nltp400-2509,トップス,480枚+,補充済→要確認,在庫推移次第,¥50万
中,nltp383-2508,トップス,659枚,残数次第,追加は最小限、1月セール移行準備,¥40万
低,nl0195他,各種,—,0枚,終売判断（5ヶ月超品番は追加せず）,¥0
,,,,,再入荷小計,"¥1,100万"
※残¥100万は12月中旬の販売データ確認後に追加発注判断用として保留。,,,,,,
,,,,,,
週別投入スケジュール,,,,,,
週,日程,新作投入,再入荷,イベント連動,,
W1,12/1〜7,S1（ケーブルタートル）＋ S2（裏起毛パンツ）＋ A2（モヘヤニット）,nlmot007・nltp453・nlpt454 着荷・即出品,"楽天スーパーSALE（12/4〜）：S1・S2を開始2h枠に配置。RPP¥28,000集中投下",,
W2,12/8〜14,A4（裏ボアコート）＋ B1（リブニットスカート）＋ B2（チェックブラウス）,nlxn30722・nlpt425 追加分着荷,本気のZOZO祭（12/14）：nlmot007＋A4コートをZOZO Yahoo!店に出品強化,,
W3,12/15〜21,A1（ベロアWP）＋ A3（ツイードスカート）＋ M2（セットアップ）,—,楽天大感謝祭（12/19〜）：A1・A3・M2を「年末イベント特集」として投入。ギフト訴求,,
W4,12/22〜31,B3（ファーティペット）＋ B4（スウェットWP）＋ M1（チェスターコート）,12月中旬データで判断した追加発注分,大感謝祭後半＋年末最終。秋物セール処分OFF開始準備。1月セール品リスト確定,,
予算検算,,,,,,
区分,内訳,合計,,,,
S級 2型,"S1 ¥140,000 + S2 ¥135,000","¥275,000",,,,
A級 4型,"A1 ¥126,000 + A2 ¥84,000 + A3 ¥78,000 + A4 ¥168,000","¥456,000",,,,
B級 4型,"B1 ¥40,000 + B2 ¥40,000 + B3 ¥30,000 + B4 ¥48,000","¥158,000",,,,
メーカー 2型,"M1 ¥220,000 + M2 ¥180,000","¥400,000",,,,
新作小計,,"¥1,289,000",,,,
再入荷・欠品防止,8〜10品番,"¥11,000,000",,,,
追加プール,,"¥6,711,000",,,,
総合計,,"¥19,000,000",,,,
"新作比率：6.8%（¥128.9万 / ¥1,900万）。12月は新作よりも実績品番の在庫確保が最重要であり、新作は年末イベント対応とカテゴリ拡張テストに限定。追加プール¥671万は12月中旬のデータレビューで「売れ筋の急伸追加」「1月セール在庫確保」に振り分ける。",,,,,,
,,,,,,
12月 セール処分計画（1月冬セールへの橋渡し）,,,,,,
12月後半〜1月にかけてセール処分を開始すべき品番：,,,,,,
,,,,,,
"即処分（12月第3週〜OFF開始）：nltp031-2307（在庫1,568枚・10月時点で過剰）、nl0193-211101（旧品番・在庫過多）。20〜30%OFFから開始し、1月に50%OFFへ段階引き下げ。",,,,,,
,,,,,,
1月セール移行（12月末にプロパー終了）：nltp383-2508（8月投入・5ヶ月経過、12月末でプロパー終了→1月20%OFF）、2024年以前の品番で残数50枚超のもの。,,,,,,
,,,,,,
プロパー継続（1月中旬まで）：nlmot007、nltp453、nlpt454、nlpt425など冬メイン品番は1月中旬までプロパー販売継続。1月下旬に判断。,,,,,,
,,,,,,
"セール処分による想定回収：¥200〜300万（在庫圧縮効果）。残存在庫目標：季節残存¥500,000以下（マスター設計ガイド基準）。",,,,,,
,,,,,,
月次チェックリスト（12月）,,,,,,
チェック項目,基準,判定方法,,,,
在庫÷月売上 ≤ 0.8,月末在庫 ÷ 12月売上,12月末棚卸で確認,,,,
過剰発注なし,新作仕入は予算の7%以下,予算検算表と照合,,,,
S級品番のMeta広告出稿,S1・S2に集中、CPA確認,週次で確認,,,,
"楽天RPP ≤ ¥40,000",月間上限,週次残高確認,,,,
スーパーSALE開始2h配置,S級品番が配置済み,12/4 18:00に最終確認,,,,
セール処分リスト確定,12月第2週末まで,W2終了時にリスト作成,,,,
1月春先行品番サンプル確認,12月第3週まで,W3終了時に完了確認,,,,
コラボ品番の追加交渉,nlxn30722の追加可否,W1中に結論,,,,
広告クリエイティブ鮮度,2週間以上同一素材は差替え,W2・W4で更新,,,,
年間在庫棚卸,12月末で実施,全品番の在庫確認→1月計画へ反映,,,,
