"在庫管理シートv7によれば、9月の仕入は秋物¥1,500万（新規¥600万＋再入荷¥900万）＋冬物¥1,500万（新規¥250万＋再入荷¥1,250万）＝¥3,000万。年間最大の仕入月。",,,,,,,
,,,,,,,
9月の位置づけは「秋物ピーク＋冬物先行」。秋物新規¥600万（40%）で棚を一新。楽天スーパーSALE（Sランク）が9月最大の売上機会。冬物新規¥250万（17%）で先行アイテム2〜3型投入。,,,,,,,
,,,,,,,
"9月末の秋物在庫は¥1,407万（8月末¥1,446万からほぼ横ばい＝仕入＝消化のバランス）。冬物在庫は¥488万→¥1,548万へ急増（冬物¥1,500万仕入で棚構築開始）。",,,,,,,
,,,,,,,
⚠️ 秋物最重要アラート：在庫管理シートv7の「10月に追加発注しよう→絶対NG」ルールを念頭に、9月中に追加発注の最終判断を行う。10月第2週が追加発注〆切。,,,,,,,
,,,,,,,
"NOAHLへの示唆：9月は「8月投入の秋物S級の追加発注」＋「秋物A級・B級の2回目投入」＋「冬物先行2〜3型」で¥3,000万を使い切る。nltp383の爆発を受けて同路線の追加投入＋nltp244の在庫補充が最優先。",,,,,,,
,,,,,,,
4軸クロス総評：9月にNOAHLがやるべきこと,,,,,,,
4軸が重なるポイントは3つ。,,,,,,,
,,,,,,,
"① 楽天スーパーSALE（Sランク）で年間後半のトップラインを作る ZOZO-T（カーディガン11件/パーカー8件爆発）×楽天-R（カーデ9件/JK10件/長袖18件）×トレンド（AW2026「テクスチャーリッチ」「ハイネック」最盛期）×自社（nltp383が2,269枚で9月最大のヒット）。9月スーパーSALEの弾は「8月投入のS級品番＋accoさんコラボ秋版」。RPP40万以下＋メタ広告集中の方針を維持しつつ、スーパーSALE期間のみRPP増額を検討。",,,,,,,
,,,,,,,
② 秋物の「追いかけ」発注を9月中に完了する ZOZO×楽天共通（秋の羽織り需要がピーク→10月は後半戦）×在庫v7（10月第2週が追加発注〆切。「10月に追加しよう→絶対NG」ルール）×自社（nltp383爆発→追加発注必要/nltp244在庫538→秋も消化可能）。9月のW2売上データを見て、好調品番は即追加発注。不調品番は損切り（20%OFF開始）。判断の遅れが致命的になる月。,,,,,,,
,,,,,,,
③ 冬物先行品で10月本格投入の助走を作る ZOZO-S（テーラードJK10件爆発→冬のJK需要への布石）×楽天-R（秋→冬の移行が10月から始まる）×トレンド（AW2026冬物は10月に本格化/9月は先行予約フェーズ）×在庫v7（冬物新規¥250万で先行2〜3型）。冬物はaccoさんコラボの冬版（ニットコート or 厚手ワンピース）が最有力。,,,,,,,
,,,,,,,
Part 2：新作品番設計（4軸根拠タグ付き）,,,,,,,
予算サマリー,,,,,,,
区分,品番数,金額,構成比,,,,
秋物新作OEM（S+A+B/2回目投入含む）,10型,¥600万,20%,,,,
秋物再入荷（売れ筋追いかけ＋スーパーSALE弾）,10〜15品番,¥900万,30%,,,,
冬物新作OEM（先行投入）,3型,¥250万,8%,,,,
冬物再入荷（ZOZO先行展示＋楽天スーパーSALE弾）,5〜10品番,"¥1,250万",42%,,,,
合計,,"¥3,000万",100%,,,,
"※在庫管理シートv7準拠：秋物¥1,500万＋冬物¥1,500万＝¥3,000万",,,,,,,
,,,,,,,
秋物新作S級（3品番）— ¥240万｜スーパーSALEの主力,,,,,,,
S1：裏配色ニットカーディガン（NOAHL版）,,,,,,,
,,,,,,,
項目,内容,,,,,,
カテゴリ,アウター / カーディガン,,,,,,
価格帯,"¥6,980",,,,,,
下代,"¥1,400",,,,,,
SKU,3色 × 100枚 = 300枚,,,,,,
仕入額,¥42万,,,,,,
ZOZO-T,◎ カーディガン2→11件爆増。裏配色スナップカーデがTOP1,,,,,,
楽天-R,◎ カーデ9件爆増。noahl配色ニットカーデが楽天で上位に,,,,,,
トレンド,◎ AW2026「テクスチャーリッチ」重要度9。シャギー・配色が必須,,,,,,
自社,◎ nlc076(334枚/前年カーデ)が9月に秋復活。NOAHLのカーデは売れる,,,,,,
提案根拠,"市場TOP1のFREAK'S STORE(¥6,360)を意識しつつ、NOAHLのニュアンスカラーで差別化。スーパーSALEのメインビジュアルに",,,,,,
S2：ダブルジップショートパーカー（ピグメント加工）,,,,,,,
,,,,,,,
項目,内容,,,,,,
カテゴリ,アウター / パーカー,,,,,,
価格帯,"¥5,980",,,,,,
下代,"¥1,200",,,,,,
SKU,3色 × 120枚 = 360枚,,,,,,
仕入額,¥43.2万,,,,,,
ZOZO-T,"◎ パーカー2→8件爆増。ダブルジップKW1→4件。Ada.(¥3,627)が代表",,,,,,
楽天-R,○ 羽織り需要爆発。ダブルジップ×ショート丈が勝ち筋,,,,,,
トレンド,◎ AW2026「グランジ×フェミニン」重要度7。ピグメント加工でヴィンテージ感,,,,,,
自社,○ パーカーは未開拓だが、羽織り需要の爆発を受けて参入すべき,,,,,,
S3：accoさんコラボ秋ニット（AS1の追加投入 or 色追加）,,,,,,,
,,,,,,,
項目,内容,,,,,,
カテゴリ,トップス / ニット,,,,,,
価格帯,"¥6,980",,,,,,
下代,"¥1,400",,,,,,
SKU,追加色2色 × 150枚 = 300枚,,,,,,
仕入額,¥42万,,,,,,
ZOZO-T,○ 秋ニット需要本格化。8月投入のAS1の反応を見て判断,,,,,,
楽天-R,"◎ nltp244(1,512枚)がaccoさんコラボの秋復活を証明",,,,,,
トレンド,◎ AW2026「テクスチャーリッチ」重要度9,,,,,,
自社,◎ 「accoさん×メタ広告」は年間最強。8月のAS1が好調なら追加色で横展開。不調なら別デザインに変更,,,,,,
秋物新作A級（4品番）— ¥200万,,,,,,,
A1：テクスチャーニットプルオーバー（8月AS1の2回目/色追加）,,,,,,,
,,,,,,,
項目,内容,,,,,,
"下代¥1,300 / SKU2色×100枚=200枚",仕入額 ¥26万,,,,,,
根拠軸,ZOZO-T◎（シャギーKW急浮上）＋トレンド◎（テクスチャーリッチ重要度9）。8月投入品の反応を踏まえた色追加,,,,,,
A2：タックスラックス（秋のきれいめボトムス）,,,,,,,
,,,,,,,
項目,内容,,,,,,
"下代¥1,300 / SKU7サイズ×50枚=350枚",仕入額 ¥45.5万,,,,,,
ZOZO-P,"◎ タック14件。ヘビーワイドスラックス(¥4,200)が代表",,,,,,
トレンド,◎ AW2026「リラックスフィット」通年トレンド。タック×ポンチの秋版,,,,,,
自社,◎ nlpt320(213枚)・njpt360(382枚)の成功を秋素材に横展開,,,,,,
A3：ニットワンピース（リブ or ケーブル編み）,,,,,,,
,,,,,,,
項目,内容,,,,,,
"下代¥1,500 / SKU3色×60枚=180枚",仕入額 ¥27万,,,,,,
ZOZO-S,○ ワンピースは通年安定。秋WPはニット素材が主力,,,,,,
トレンド,◎ AW2026「ハイネック×エレガンス」重要度9＋「ロングスカート復権」重要度8,,,,,,
自社,◎ ワンピースはNOAHL最強カテゴリ。nlwp377(222枚)が好調,,,,,,
A4：レースドッキング秋インナー（2回目投入）,,,,,,,
,,,,,,,
項目,内容,,,,,,
"下代¥1,000 / SKU2色×100枚=200枚",仕入額 ¥20万,,,,,,
自社,◎ nlbi019(467枚)・nlbi004(482枚)。インナーは秋も通年カテゴリ。8月投入のAA2の反応を踏まえた追加,,,,,,
トレンド,◎ AW2026「レース×レイヤード」適合度9。秋ニット×レースインナーのセット買い,,,,,,
秋物B級（3品番）— ¥60万,,,,,,,
B1：チェックネルシャツ,,,,,,,
,,,,,,,
"| 下代¥1,100 / SKU2色×60枚=120枚 | 仕入額 ¥13.2万 | | 根拠軸 | 楽天-R◎（ネルシャツKW急伸）＋トレンド○（AW2026「グランジ×フェミニン」）。8月投入のAB1の反応を踏まえた追加 |",,,,,,,
,,,,,,,
B2：ゴールドボタンテーラードJK,,,,,,,
,,,,,,,
"| 下代¥1,600 / SKU2色×40枚=80枚 | 仕入額 ¥12.8万 | | 根拠軸 | ZOZO-S◎（テーラード2→10件/ゴールドボタンKW）＋トレンド◎（リテラリーシック適合度8） |",,,,,,,
,,,,,,,
B3：デザインスウェットパンツ,,,,,,,
,,,,,,,
"| 下代¥1,200 / SKU3サイズ×30枚=90枚 | 仕入額 ¥10.8万 | | 根拠軸 | ZOZO-P◎（スウェットパンツ2→4件/販売数8,088枚）＋トレンド○（リラックスフィット通年トレンド）。小ロットテスト |",,,,,,,
,,,,,,,
冬物新作先行（3品番）— ¥250万,,,,,,,
W1：accoさんコラボ冬ニットコート,,,,,,,
,,,,,,,
項目,内容,,,,,,
カテゴリ,アウター / コート,,,,,,
価格帯,"¥9,980",,,,,,
下代,"¥2,000",,,,,,
SKU,2色 × 80枚 = 160枚,,,,,,
仕入額,¥32万,,,,,,
根拠軸,"自社◎（accoさんコラボは春¥3,472/秋¥1,512枚で通年最強）。冬の高単価アンカーとして¥9,980に挑戦。楽天スーパーSALE（Sランク）での先行予約販売",,,,,,
W2：厚手ニットワンピース（冬先行）,,,,,,,
,,,,,,,
項目,内容,,,,,,
カテゴリ,ワンピース,,,,,,
価格帯,"¥8,980",,,,,,
下代,"¥1,800",,,,,,
SKU,3色 × 60枚 = 180枚,,,,,,
仕入額,¥32.4万,,,,,,
根拠軸,自社◎（WPはNOAHL最強）＋トレンド◎（AW2026「テクスチャーリッチ」＋「ロングスカート復権」）。冬のメインWPとして10月本格投入の先行,,,,,,
W3：ウール混ワイドパンツ（冬先行ボトムス）,,,,,,,
,,,,,,,
項目,内容,,,,,,
カテゴリ,ボトムス / パンツ,,,,,,
価格帯,"¥7,980",,,,,,
下代,"¥1,600",,,,,,
SKU,7サイズ × 40枚 = 280枚,,,,,,
仕入額,¥44.8万,,,,,,
根拠軸,ZOZO-P◎（タック・ポンチが秋ボトムスのメガトレンド→冬はウール混に進化）＋自社◎（パンツが「第二の柱」として確立済み。冬素材版の先行テスト）,,,,,,
※冬物新規¥250万のうち¥109万を3品番に使用。残¥141万は追加プール（10月本格投入の弾）。,,,,,,,
,,,,,,,
全品番4軸スコア一覧,,,,,,,
#,アイテム,ランク,ZOZO,楽天,トレンド,自社,合計
S1,裏配色ニットカーデ,S(秋),◎,◎,◎,◎,4軸全一致
S2,ダブルジップショートパーカー,S(秋),◎,○,◎,○,2軸◎
S3,accoさんコラボ秋ニット追加,S(秋),○,◎,◎,◎,3軸◎
A1,テクスチャーニット（2回目）,A(秋),◎,—,◎,○,2軸◎
A2,タックスラックス,A(秋),◎,—,◎,◎,3軸◎
A3,ニットWP,A(秋),○,—,◎,◎,2軸◎
A4,レースドッキング秋インナー,A(秋),—,—,◎,◎,2軸◎（自社＋トレンド）
B1,チェックネルシャツ,B(秋),—,◎,○,—,楽天牽引
B2,ゴールドボタンテーラードJK,B(秋),◎,—,◎,—,ZOZO＋トレンド
B3,デザインスウェットパンツ,B(秋),◎,—,○,—,ZOZO牽引テスト枠
W1,accoさんコラボ冬ニットコート,W先行,—,◎,○,◎,自社＋楽天
W2,厚手ニットWP,W先行,—,—,◎,◎,トレンド＋自社
W3,ウール混ワイドパンツ,W先行,◎,—,—,◎,ZOZO＋自社
最終チェック：予算検算,,,,,,,
区分,金額,,,,,,
秋物S級 3品番,¥127万,,,,,,
秋物A級 4品番,¥119万,,,,,,
秋物B級 3品番,¥37万,,,,,,
秋物残り新規枠,¥317万（追加プール。8月投入品の追加発注に使用）,,,,,,
秋物再入荷,¥900万,,,,,,
秋物小計,"¥1,500万",,,,,,
冬物新作先行 3品番,¥109万,,,,,,
冬物残り新規枠,¥141万（10月本格投入の弾）,,,,,,
冬物再入荷（ZOZO先行展示＋スーパーSALE弾）,"¥1,250万",,,,,,
冬物小計,"¥1,500万",,,,,,
合計,"¥3,000万",,,,,,
"※在庫管理シートv7の9月仕入枠¥3,000万にぴったり一致 ✅ ※秋物新規実額¥283万に対し枠¥600万→残¥317万は「追加プール」。8月投入品（AS1/AS2/AS3等）のW2売上を見て追いかけ発注する資金。これが「売れたら追いかける」余白設計の核心。",,,,,,,
,,,,,,,
"再入荷優先度（秋物¥900万＋冬物¥1,250万＝¥2,150万）",,,,,,,
秋物再入荷¥900万,,,,,,,
,,,,,,,
優先度,品番,9月販売数,在庫,アクション,,,
最優先,nltp383,"2,269",353,即追加。9月最大のヒット品番。在庫0.2ヶ月分,,,
最優先,nltp244,"1,512",538,追加。accoさんコラボは秋も売れる。在庫0.4ヶ月分,,,
高,nltp370,703,96,追加。在庫0.1ヶ月分,,,
高,nltp363,410,252,追加。在庫0.6ヶ月分だが終了日10月末,,,
高,nltp431,270,193,追加。9月新作で好調,,,
中,nlwp377,222,202,在庫0.9ヶ月分。終了日10月末。小ロット追加,,,
中,nltp376,197,107,在庫0.5ヶ月分。終了日3月末。追加余地あり,,,
中,AS1/AS2/AS3（8月投入品）,W2データ次第,—,好調品番は追加プール¥317万から発注,,,
低,nltp434,65,137,評価2.6。追加不要。20%OFF開始→11月処分候補,,,
"冬物再入荷¥1,250万",,,,,,,
,,,,,,,
冬物再入荷は「冬物先行展示用のZOZO入庫」＋「楽天スーパーSALEの冬物先行予約在庫」に充当。具体品番は前年冬物のロングセラー品番（nlxn30705/98枚で9月に再浮上）の再展開＋9月投入のW1/W2/W3の追加発注に使用。,,,,,,,
