"NOAHLへの示唆：10月ボトムスのTOP品番はnlpt379(257枚/¥6,980)だが、楽天NL:90枚とNL公式:130枚の二軸で動いている。nlpt425(144枚/¥6,980)も10月新作として初動好調。ただし市場規模（ハイウエスト12,988枚/スラックス25,282枚）に対してNOAHLの品揃えが決定的に薄い。ボトムスの構造的弱さは変わらないが、nlpt379とnlpt425が「S級＋A級のみで勝負」する設計ルール通りに機能し始めている。10月は「ハイウエスト×センタープレス」のスラックスをS級として投入し、ボトムス構成比の改善を加速させるべき。",,,,,,,
,,,,,,,
ワンピース・スカート・アウター市場（Sレポート）,,,,,,,
"アウターは「コート」11件→17件で10月最注力カテゴリ。「ボア」2件→5件に急増。hinariの「ウェーブデザインミドルコート」(¥9,000/3,622枚)が圧倒的トップで、軽アウターから本格防寒アウターへの移行が始まった。Javaの「リバーシブル ハーフジップ ボアブルゾン」(¥4,544/1,704枚)は「リバーシブル」「ハーフジップ」の汎用性が中間価格帯で強力。",,,,,,,
,,,,,,,
"ワンピースではニットワンピが4件→11件に爆増。Louereの「アシメオフショル風ニットフレアワンピ」(¥7,272/1,503枚)やCENEAの「バイカラーリボンニットワンピース」(¥7,272/1,124枚)など、「1枚でサマになるデザイン性の高いニット」がワンピース市場を牽引。Classical Elfの「ニット×チュールワンピースセット」(¥7,726/1,498枚)はセットアイテムの着回し力で7,000円超を正当化。",,,,,,,
,,,,,,,
"スカートは「ロング」8件→12件、「プリーツ」8件→12件、「ニット」0件→6件と全面的に急伸。OLUNの「Long pleats skirt」(¥6,300/1,822枚)がスカート1位。ボリュームニットやアウターとのバランスが取れる「すっきりIライン」が10月の鉄則。「ベロア」素材のスカートもランクイン急増で、光沢感のある表面変化が購買意欲を刺激している。",,,,,,,
,,,,,,,
"NOAHLへの示唆：nlwp187(414枚/¥6,400)が10月ワンピTOP。10月新作のnlmwp003(223枚/¥8,980)も好調だが在庫70枚で11月に欠品リスク。nlwp173(236枚/¥9,880)は在庫23枚で即追加必須。アウターはnlot429(87枚/¥7,980)、nlot428(80枚/¥13,890)、nlot439(75枚/¥9,880)が動いているが、市場規模（コート17件ランクイン）に対してNOAHLのアウター品揃えは依然薄い。10月はミドル丈コート1〜2型で補完すべき。nlsk389(103枚/¥6,480)がスカートでTOP入りし、ボトムス以外のスカートカテゴリに実績が出始めている。",,,,,,,
,,,,,,,
軸② 楽天市場分析（Rレポート）,,,,,,,
注力カテゴリ,,,,,,,
"「長袖」が18件→31件に爆増で楽天もトップスの完全秋シフトが確定。「カットソー」7件→13件、「スウェット」1件→7件、「トレーナー」0件→6件と、秋カジュアルトップスが一気に動き出した。楽天の中間価格帯（¥3,000〜9,000）では、classicalの「ポンチ プルオーバー トレーナー」やantiquaの「ショート丈裏毛プルオーバー」など、リラクシーでありながら部屋着見えしないきれいめスウェットが勝ち筋。",,,,,,,
,,,,,,,
"「ニット」9件→15件、「カーディガン」9件→12件と羽織り需要が拡大。stylife(FREAK'S STORE)の「裏配色スナップニットカーディガン」やla-gemmeの「ケーブルニット」が3,000〜5,000円台で急伸。",,,,,,,
,,,,,,,
注目キーワード,,,,,,,
「裏起毛」が2件→8件に急増。10月後半の気温低下に対応した素材ニーズが立ち上がっている。「マシュマロタッチ」のニットなど着心地訴求も楽天レビューで高評価を獲得しやすいファクター。,,,,,,,
,,,,,,,
"「ロゴ刺繍」「ドッキング（ペプラム）」が付加価値として定着。classicalの「ワンポイント胸刺繍ロングTee」やla-gemmeの「シアーフリル ペプラム ドッキングトップス」のように、無地からの脱却が¥3,000〜4,000台での勝ち筋。",,,,,,,
,,,,,,,
楽天施策との連動,,,,,,,
10月は楽天マラソン3回が予定される月。10月前半のマラソンにはニットワンピ・デザインニットのS級品番を開始2時間枠に配置。ZOZO WEEK（10月開催）との連動で冬物先行投入のタイミングを合わせる。ニットワンピース・ミドルコートは単価が高いため、ポイント還元施策との組み合わせで初速を最大化する。,,,,,,,
,,,,,,,
NOAHLへの示唆,,,,,,,
"nltp383(1,958枚)のうち楽天NL:1,483枚で楽天比率76%。nltp393(587枚)は楽天NL:556枚で楽天比率95%。10月は「楽天で売れるニット品番を欠品させない」ことが最重要。nltp400(497枚)は在庫0枚で既に完全欠品。nltp370(626枚)は在庫96枚で翌月確実に切れる。楽天の「きれいめだけど楽」路線はNOAHLの世界観そのもの。ペプラムドッキングやフクレジャガード等、楽天で支持される「1枚でサマになる」ニットトップスを即投入すべき。",,,,,,,
,,,,,,,
軸③ トレンド分析（2026AWトレンドから10月向けを抽出）,,,,,,,
NOAHLへの適合度が高いトレンド（スコア8以上）— 10月で仕込むべきもの,,,,,,,
"「テクスチャーリッチ」（適合度8）：AW2026の最重要トレンド。ブークレ、コーデュロイ、フランネルなど「触りたくなる素材感」がNOAHLの価格帯（¥5,980〜¥8,980）でも品質感を演出できる。ZOZOの「シャギー」2→5件、「ジャガード」のランクイン、楽天の「マシュマロタッチ」需要と完全に合致。NOAHLの下代感（¥1,100〜¥1,700）で最も質感を出しやすい素材は「フクレジャガード」と「シャギーニット」で、10月はこの2素材をS級に採用すべき。",,,,,,,
,,,,,,,
「ハイネック×エレガンス」（適合度9）：ファンネルネック、タートルネック、フリルカラーなど首元デザインの台頭。Who What Wearが2026AW5大トレンドに選出。NOAHLの「きれいめベーシック」路線の中核となる安定需要トレンドで、ZOZOのニット急増データともダイレクトに繋がる。10月のニットプルオーバーはファンネルネックを基本シルエットにすべき。,,,,,,,
,,,,,,,
「ロングスカート復権」（適合度8）：Miu Miuミニの時代から一転し、アンクル丈スカートが最も欲しいアイテムに浮上。ZOZOでも「ロング」8→12件、「プリーツ」8→12件と急伸。ニットロングスカート、ベロアプリーツなど素材バリエーションでの展開がNOAHLのボトムス構成比改善に直結する。,,,,,,,
,,,,,,,
「ストライプ復権」（適合度7）：ポルカドットに代わりストライプが新Itパターンに。配色ストライプニットが注目。NOAHLの配色ニット路線に新たなパターンを追加できるが、10月は「テクスチャー」「ハイネック」を優先し、ストライプはB級でのテスト投入に留める。,,,,,,,
,,,,,,,
「グランジ×フェミニン」（適合度7）：90年代グランジのリバイバル。フランネルチェックシャツ、ベロア素材をフェミニンに解釈する程度の取り入れが適切。NOAHLの淡色・ニュアンスカラーの世界観からの乖離に注意。,,,,,,,
,,,,,,,
カラーパレット,,,,,,,
Pantone NYFW FW26レポートよりMuted Clay（ミューテッドクレイ）、Festival Fuchsia（フェスティバルフューシャ）が提案されているが、10月のNOAHLは既存パレット（モカ、グレージュ、アイボリー、ブラック）を軸にし、ダスティローズ・モカブラウンの追加で2026AW対応とする。ビビッドカラーは投入しない。,,,,,,,
,,,,,,,
素材トレンド,,,,,,,
"ウール混ニット、ブークレ、コーデュロイ、フランネル、エコファーがAW26の主役素材。NOAHLの下代感で質感の良さを出せる「フクレジャガード」（¥900〜1,200）と「シャギーニット」（¥1,100〜1,400）が最も現実的。「ベロア」はスカート・ワンピースでの採用に向く。",,,,,,,
,,,,,,,
NOAHLへの示唆,,,,,,,
"10月は「テクスチャーリッチ×ハイネック」の組み合わせが最強。具体的には「シャギーニット×ファンネルネック」「フクレジャガード×ペプラムドッキング」「ベロア×プリーツスカート」の3軸でアイテム化を推奨。NOAHLの¥5,980〜¥8,980の価格帯で、me Jane(¥4,536/3,800万円)やClassical Elf(¥3,635)の成功パターンを「もう一段上の質感」で再現する。",,,,,,,
,,,,,,,
軸④ 自社実績分析（2025年10月）,,,,,,,
売上構造,,,,,,,
"10月のTOP5はnltp383(1,958枚/¥5,980)、nltp244(823枚/¥5,980)、nltp172(628枚/¥8,980)、nltp370(626枚/¥5,480)、nltp393(587枚/¥8,980)。上位5品番で4,622枚。",,,,,,,
,,,,,,,
"nltp383の圧倒的強さ（1,958枚）が10月を支配。楽天NL:1,483枚・NL公式:298枚・ZOZO ChacoCloset:176枚と全チャネルで売れている。¥5,980×1,958枚＝売上¥1,171万。レビュー175件・評価4.04で安定。2025年8月発売からわずか2ヶ月で約2,000枚到達のメガヒット。",,,,,,,
,,,,,,,
"nltp172(628枚/¥8,980)は高単価品番としては異例の販売数。¥8,980×628枚＝売上¥564万。10月に再販開始（販売日2025/10/01）で一気に立ち上がった。レビュー220件・評価4.0で秋冬の柱品番。",,,,,,,
,,,,,,,
"「まよさんコラボ」品番が10月に集中投入。nlmtp001(442枚/¥5,980)、nlmtp005(284枚/¥5,980)、nlmtp004(199枚/¥9,880)、nlmpt002(218枚/¥5,980)、nlmwp003(223枚/¥8,980)の5品番で計1,366枚。10月10日発売から約20日でこの数字は好調。特にnlmtp001とnlmtp005はメール便×¥5,980で利益率が高い。",,,,,,,
,,,,,,,
"カテゴリ別ではTOP30中トップスが22品番で圧倒的。ワンピースが4品番（nlwp187/414、nlwp173/236、nlmwp003/223、nlwp377/190）。パンツが2品番（nlpt379/257、nlpt425/144）。アウターが2品番（nlot429/87、nlot428/80）。トップス偏重の構造は続くが、ワンピース4品番で計1,063枚・パンツ2品番で計401枚と、4月(パンツ0品番)からは改善が見られる。",,,,,,,
,,,,,,,
在庫状況（欠品危機品番の特定）,,,,,,,
品番,10月販売数,実在庫,在庫月数,判定,,,
nltp400-2509,497枚,0枚,0ヶ月,機会損失。即追加必須,,,
nltp037-2308,360枚,0枚,0ヶ月,"機会損失。即追加必須（レビュー1,034件の超定番）",,,
nltp370-2507,626枚,96枚,0.15ヶ月,翌月で確実に切れる。追加必須,,,
nbetp77034-2510,105枚,0枚,0ヶ月,即追加検討,,,
nltp433-2510,101枚,0枚,0ヶ月,即追加検討,,,
nltp435-2510,63枚,0枚,0ヶ月,即追加検討,,,
nlwp173-2408,236枚,23枚,0.1ヶ月,翌月で確実に切れる。追加必須,,,
nlmwp003-2510,223枚,70枚,0.3ヶ月,翌月で切れる。追加必要,,,
nlpt409-2510,53枚,5枚,0.1ヶ月,即追加検討,,,
"在庫過多品番：nltp031-2307(204枚販売/在庫1,568枚)は在庫の7.7倍。消化に約8ヶ月。レビュー1,283件の定番品だが、シアーシャツの季節は終了しており、翌春まで動きが鈍化する。値引き or 翌春待ちの判断が必要。nlxn30705(166枚/在庫1,630枚)は約10ヶ月分。nltp261(135枚/在庫414枚)、nltp267(22枚/在庫345枚)も在庫過多。",,,,,,,
,,,,,,,
成功パターンの再現性,,,,,,,
"nltp383(1,958枚)の成功要因は①¥5,980のメール便品番で利益率が高い②レビュー評価4.04で安定③全チャネル（楽天・公式・ZOZO）で売れている汎用性④8月発売→10月ピークで秋物の需要ピークに完全合致。この「メール便×¥5,980×秋ニュアンスカラー×全チャネル」パターンを10月のS級品番にそのまま適用する。",,,,,,,
,,,,,,,
"まよさんコラボの初動評価。5品番1,366枚は10月10日〜31日の約20日間。月間換算で約2,050枚相当。accoさんコラボ（nltp244の4月3,472枚）には及ばないが、複数品番に分散しているため1品番あたりの在庫リスクが低い。nlmtp001(442枚)とnlmtp005(284枚)のトップス2品番が牽引。教訓通り「コラボ相手の得意カテゴリから外さない」が機能している。",,,,,,,
,,,,,,,
失敗パターンと教訓,,,,,,,
"nlmtp004(199枚/¥9,880)は高単価コラボとして課題あり。レビュー5件・評価4.4は悪くないが、¥9,880×メール便は「価格に対する期待値」と「メール便の体験」にギャップが出やすい。コラボの高単価品番はメール便ではなく宅配便でパッケージ体験を向上させるべき。",,,,,,,
,,,,,,,
"nlot423(5枚/¥11,980/在庫79)は10月投入のアウターだが初動5枚で低迷。評価2.0とレビュー品質にも問題。NOAHLの¥12,000級アウターは市場とのズレがある可能性。アウターはメーカー仕入れで「目利き」するほうがリスクが低い。",,,,,,,
,,,,,,,
nltp434(55枚/在庫137/評価2.6)は評価が危険水域。レビュー品質の問題が顕在化しており、在庫消化よりも評価改善（写真差替え、商品説明更新）を優先すべき。,,,,,,,
,,,,,,,
在庫管理シートv7との整合性,,,,,,,
在庫管理シートv7によれば、10月はシーズン区分「冬物本格投入」月。仕入枠の具体数字は引き継ぎサマリーに10月分の記載がないため、年間設計思想の「フェーズ2（安定期）：仕入≈COGS」に基づき、10月の仕入枠を推定する。,,,,,,,
,,,,,,,
"10月の月商は上位5品番だけで¥5,000万級（nltp383:¥1,171万＋nltp244:¥492万＋nltp172:¥564万＋nltp370:¥343万＋nltp393:¥527万＝¥3,097万。TOP30以降含め月商¥5,000万前後と推定）。原価率を目標35%とするとCOGS≈¥1,750万。フェーズ2の「仕入≈COGS」に従い、10月仕入枠を**¥1,750万**（秋冬物¥1,200万＋冬物先行¥550万）と設定する。",,,,,,,
,,,,,,,
10月の位置づけは「秋物最盛期＋冬物本格投入」の二本柱月。秋物は新規¥300万で15〜18型の投入＋再入荷¥900万で売れ筋の欠品防止。冬物は先行¥550万でコート・重アウターの仕込み。,,,,,,,
,,,,,,,
4軸クロス総評：10月にNOAHLがやるべきこと,,,,,,,
4軸が重なるポイントは3つ。,,,,,,,
,,,,,,,
① nltp383の成功パターンを「秋ニット」で横展開する,,,,,,,
,,,,,,,
"ZOZO-T（ニット7→16件爆増/プルオーバー2→7件）×楽天-R（ニット9→15件/カーディガン9→12件）×トレンド（テクスチャーリッチ適合度8/ハイネック適合度9）×自社（nltp383が1,958枚/¥5,980×メール便の最強フォーマット）。10月最大のアクションは「nltp383と同じ¥5,980×メール便×ニュアンスカラーのフォーマットで、フクレジャガードやシャギーのデザインニットをS級投入」すること。me Jane(¥4,536/3,800万円)の「異素材ドッキング」、Classical Elf(¥3,635)の「生地表面変化」を¥5,980〜¥6,980のNOAHL価格帯で再現し、nltp383を超えるヒットを狙う。",,,,,,,
,,,,,,,
② ボトムス・ワンピースの「ニット化」でカテゴリ構成比を改善する,,,,,,,
,,,,,,,
"ZOZO-S（ニットワンピ4→11件爆増/ニットスカート0→6件）×ZOZO-P（ハイウエスト4→7件/スラックス12→14件）×楽天-R（長袖31件/ニット15件）×トレンド（ロングスカート復権適合度8）×自社（nlwp187/414枚、nlpt379/257枚が動き始め）。10月のボトムス・ワンピースはすべて「ニット素材」で統一する。ニットワンピース（Louere型/¥7,272がZOZO圧倒的1位）をS級に、ニットロングスカート（OLUNの¥6,300がスカート1位）をA級に配置。トップスだけでなくボトムス・ワンピでも「ニットの質感」が選ばれる理由になっている10月だからこそ、カテゴリ拡張の最大チャンス。",,,,,,,
,,,,,,,
③ まよさんコラボの「追いかけ」と定番品の「守り」を同時に回す,,,,,,,
,,,,,,,
"自社（まよコラボ5品番1,366枚/20日間で好調）×楽天（楽天マラソン3回に合わせた在庫補充）×ZOZO（ZOZO WEEK連動で冬物先行）。まよさんコラボは「売れたら追いかける」設計ルール通りに動いている。nlmtp001(442枚/在庫328)は11月前半で欠品する可能性があり、追加発注を即判断。一方で超定番品の欠品が深刻。nltp400(497枚/在庫0)、nltp037(360枚/在庫0)、nltp370(626枚/在庫96)は「機会損失」状態。10月の再入荷予算の最優先はこれらの欠品防止。「新作で攻め」と「定番で守り」を同時に回さないと、11月の冬本番に間に合わない。",,,,,,,
,,,,,,,
Part 2：新作品番設計（4軸根拠タグ付き）,,,,,,,
予算サマリー,,,,,,,
区分,品番数,金額,構成比,,,,
新作OEM・秋物（S+A+B）,15型,¥450万,26%,,,,
メーカー仕入れ,3品番,¥50万,3%,,,,
再入荷（欠品防止）,10〜12品番,¥900万,51%,,,,
追加発注プール,—,¥350万,20%,,,,
合計,,"¥1,750万",100%,,,,
"※フェーズ2（安定期）準拠：仕入≈COGS≈¥1,750万。再入荷+プールで71%を確保し、売れ筋の欠品防止と「売れたら追いかける」余白を最優先。",,,,,,,
,,,,,,,
秋物新作S級（3品番）— ¥180万｜全リソース集中,,,,,,,
S1：フクレジャガード×ドッキングニットプルオーバー,,,,,,,
項目,内容,,,,,,
カテゴリ,トップス / ニット,,,,,,
価格帯,"¥5,980",,,,,,
下代,"¥1,200",,,,,,
SKU,3色 × 100枚 = 300枚,,,,,,
仕入額,¥36万,,,,,,
ZOZO-T,"◎ ニット7→16件爆増。フクレジャガードが3,000円台でプロパー成立を証明（Classical Elf/3,635円）",,,,,,
楽天-R,◎ ニット9→15件。ドッキングKW増加。「1枚でレイヤード風」が楽天の最強訴求,,,,,,
トレンド,◎ 「テクスチャーリッチ」適合度8。フクレジャガードは生地表面変化の代表格,,,,,,
自社,"◎ nltp383(1,958枚/¥5,980)の成功フォーマット「メール便×¥5,980×ニュアンスカラー」をそのまま適用",,,,,,
提案根拠,"ZOZOでme Jane(3,800万円)とClassical Elf(3,635円)が証明した「異素材ドッキング」×「生地表面変化」の2大成功要因をNOAHLの¥5,980フォーマットに統合。フクレジャガード×裾シャツドッキングで、nltp383の次のメガヒットを狙う。メタ広告・楽天開始2時間枠・ROOM広告を全集中",,,,,,
S2：ニットフレアワンピース（バイカラー配色）,,,,,,,
項目,内容,,,,,,
カテゴリ,ワンピース,,,,,,
価格帯,"¥8,980",,,,,,
下代,"¥1,500",,,,,,
SKU,3色 × 80枚 = 240枚,,,,,,
仕入額,¥36万,,,,,,
ZOZO-S,"◎ ニットワンピ4→11件爆増。Louere(¥7,272/1,503枚)・CENEA(¥7,272/1,124枚)が市場の証明",,,,,,
楽天-R,◎ ニット15件。ワンピースは楽天で高単価が動く実績あり,,,,,,
トレンド,◎ 「テクスチャーリッチ」適合度8＋「ハイネック×エレガンス」適合度9,,,,,,
自社,"◎ nlwp187(414枚/¥6,400)がWP10月TOP。WPはNOAHL最強カテゴリ",,,,,,
提案根拠,"ZOZO市場でニットワンピが4→11件に爆増し、¥7,000台で1,000枚超のヒットが複数出ている。NOAHLの¥8,980でファンネルネック×バイカラー配色のニットワンピを投入。1枚でコーデ完結＋客単価引き上げの二兎を狙う",,,,,,
S3：ハイウエストセンタープレスタックパンツ（ツイル素材）,,,,,,,
項目,内容,,,,,,
カテゴリ,ボトムス / パンツ,,,,,,
価格帯,"¥6,980",,,,,,
下代,"¥1,350",,,,,,
SKU,7サイズ × 80枚 = 560枚,,,,,,
仕入額,¥75.6万,,,,,,
ZOZO-P,"◎ ハイウエスト4→7件急増(販売数5,485→12,988枚)。スラックス12→14件(18,664→25,282枚)。センタープレス(6,606→10,377枚)",,,,,,
楽天-R,○ スラックス需要は楽天でも立ち上がり中,,,,,,
トレンド,◎ 「リラックス・テーラリング」がSS/AW通年トレンド。ハイウエスト×センタープレスは2026も継続,,,,,,
自社,"◎ nlpt379(257枚/¥6,980)が10月にNL公式130枚+ZOZO33枚で動き始め。ボトムス構成比改善の核",,,,,,
提案根拠,"ZOZO市場でハイウエストスラックスが12,988枚まで急伸。me+em select(¥3,635/1,783枚)の成功を、NOAHLの¥6,980×7サイズ展開で上位互換として再現。太ベルト＋ダブルタック＋センタープレスの「穿くだけでスタイルアップ」を訴求。ボトムスはSKU7で1品番あたりの仕入額が大きいが、S級＋A級のみで勝負する設計ルール通りに全リソース集中",,,,,,
秋物新作A級（6品番）— ¥170万｜初回控えめ→W2で追加判断,,,,,,,
A1：シャギーニット×ファンネルネックプルオーバー,,,,,,,
項目,内容,,,,,,
カテゴリ,トップス / ニット,,,,,,
"下代¥1,150 / SKU 3色×70枚=210枚",仕入額 ¥24.2万,,,,,,
ZOZO-T,"◎ シャギーKW2→5件急増。hinariの「ニュアンスシャギーニット」(¥5,400)が参考",,,,,,
楽天-R,◎ ニット15件。マシュマロタッチ等の素材訴求が楽天レビューで高評価を獲得しやすい,,,,,,
トレンド,◎ 「テクスチャーリッチ」適合度8＋「ハイネック×エレガンス」適合度9,,,,,,
自社,○ S1との差別化は素材感。フクレジャガード(S1)とシャギー(A1)で表面変化のバリエーション,,,,,,
A2：デニム切替レイヤードニットカーディガン,,,,,,,
項目,内容,,,,,,
カテゴリ,トップス / ニットカーディガン,,,,,,
"下代¥1,300 / SKU 3色×70枚=210枚",仕入額 ¥27.3万,,,,,,
ZOZO-T,"◎ me Jane(¥4,536/3,800万円超)が総合1位。「異素材ドッキング」が10月の最強エビデンス",,,,,,
楽天-R,◎ カーディガン9→12件。FREAK'S STOREの「裏配色スナップニットカーディガン」が参考,,,,,,
トレンド,○ レイヤードスタイルが2026AWも継続トレンド,,,,,,
自社,△ NOAHLでは異素材ドッキングカーデは未開拓。S級にしないのはデータ不足のため,,,,,,
A3：ニットロングプリーツスカート,,,,,,,
項目,内容,,,,,,
カテゴリ,ボトムス / スカート,,,,,,
"下代¥1,200 / SKU 7サイズ×50枚=350枚",仕入額 ¥42万,,,,,,
ZOZO-S,◎ スカート「ロング」8→12件＋「プリーツ」8→12件＋「ニット」0→6件の三重急増,,,,,,
楽天-R,○ ロングスカートは楽天で安定カテゴリ,,,,,,
トレンド,◎ 「ロングスカート復権」適合度8。ニット素材のスカートがAW2026の注目アイテム,,,,,,
自社,"○ nlsk389(103枚/¥6,480)がスカートTOP入り。ボトムス構成比改善のスカート枠",,,,,,
A4：ベロアミディワンピース,,,,,,,
項目,内容,,,,,,
カテゴリ,ワンピース,,,,,,
"下代¥1,400 / SKU 3色×60枚=180枚",仕入額 ¥25.2万,,,,,,
ZOZO-S,◎ ベロア素材がスカート・ワンピースでランクイン急増。秋冬の光沢表面変化,,,,,,
楽天-R,○ ワンピースは楽天でも安定カテゴリ。高単価が動く実績あり,,,,,,
トレンド,◎ 「テクスチャーリッチ」適合度8。ベロアはAW2026素材トレンドの一角,,,,,,
自社,○ S2のニットWPとは素材違いで差別化。WP月2〜3型のコンスタント投入を実行,,,,,,
A5：まよさんコラボ追加型（ニットトップス）,,,,,,,
項目,内容,,,,,,
カテゴリ,トップス / ニット,,,,,,
"下代¥1,100 / SKU 3色×80枚=240枚",仕入額 ¥26.4万,,,,,,
ZOZO-T,○ ニット16件。コラボの引力でランキング上位狙い,,,,,,
楽天-R,◎ まよさんコラボ5品番の楽天比率は95%超。楽天で爆発する構造,,,,,,
トレンド,○ テクスチャーリッチ素材をコラボにも適用,,,,,,
自社,◎ nlmtp001(442枚/20日間)が証明。「売れたら追いかける」設計で追加型を11月投入準備,,,,,,
A6：リバーシブルボアブルゾン,,,,,,,
項目,内容,,,,,,
カテゴリ,アウター / ブルゾン,,,,,,
"下代¥1,500 / SKU 3色×60枚=180枚",仕入額 ¥27万,,,,,,
ZOZO-S,"◎ ボアKW2→5件急増。Java(¥4,544/1,704枚)のリバーシブルボアが大ヒット",,,,,,
楽天-R,○ 防寒＋おしゃれの両立需要が10月後半から立ち上がり,,,,,,
トレンド,○ エコファー・ボアがAW2026素材トレンド,,,,,,
自社,△ アウター構成比の薄さ補完。nlot429(87枚)・nlot428(80枚)に続くアウター枠,,,,,,
秋物B級（6品番）— ¥50万｜棚の鮮度維持,,,,,,,
B1：チェック柄シャツワンピース,,,,,,,
項目,内容,,,,,,
"下代¥1,200 / SKU 2色×40枚=80枚",仕入額 ¥9.6万,,,,,,
根拠軸,ZOZO-T○（チェック2→4件）＋トレンド○（グランジ×フェミニン適合度7）,,,,,,
B2：フランネルチェックシャツ,,,,,,,
項目,内容,,,,,,
"下代¥1,050 / SKU 2色×40枚=80枚",仕入額 ¥8.4万,,,,,,
根拠軸,ZOZO-T○（デニムシャツ＋チェックが秋の記号）＋トレンド○（グランジ×フェミニン適合度7）,,,,,,
B3：配色ストライプニットプルオーバー,,,,,,,
項目,内容,,,,,,
"下代¥1,100 / SKU 2色×40枚=80枚",仕入額 ¥8.8万,,,,,,
根拠軸,トレンド◎（ストライプ復権適合度7）＋自社○（配色ニットの実績。テスト枠）,,,,,,
B4：リブニットタイトスカート,,,,,,,
項目,内容,,,,,,
"下代¥1,000 / SKU 2色×40枚=80枚",仕入額 ¥8万,,,,,,
根拠軸,ZOZO-S◎（ニットスカート0→6件）＋自社○（nlsk389が103枚で動き始め。リブ×Iラインは安定需要）,,,,,,
B5：裏起毛スウェットプルオーバー（きれいめ）,,,,,,,
項目,内容,,,,,,
下代¥900 / SKU 2色×50枚=100枚,仕入額 ¥9万,,,,,,
根拠軸,楽天-R◎（スウェット1→7件/裏起毛2→8件急増）＋ZOZO-T○（トレーナー0→6件）。classicalのポンチプルオーバー参考,,,,,,
B6：ニット×チュールセットワンピース,,,,,,,
項目,内容,,,,,,
"下代¥1,300 / SKU 2色×30枚=60枚",仕入額 ¥7.8万,,,,,,
根拠軸,"ZOZO-S◎（Classical Elfのニット×チュールWPセット¥7,726/1,498枚）。セットアイテムの着回し力テスト。WP月2〜3型の3枠目",,,,,,
※設計ルール通りボトムスのB級は不要。B4(リブニットスカート)はスカートカテゴリ扱い。,,,,,,,
,,,,,,,
メーカー仕入れ — ¥50万,,,,,,,
#,カテゴリ,アイテム,仕入額,根拠軸,,,
M1,アウター,ウェーブデザインミドルコート,¥25万,"ZOZO-S◎（コート11→17件。hinari¥9,000/3,622枚が圧倒的1位）＋自社（アウター構成比の薄さ補完。10月の羽織り需要ピーク）",,,
